hid,quintile,emp_status,region,housing,rururb,disab,disab_def,econat,econat_def,age,rank_tot,district,hhsize,mar_status,mar_status_def,gender,povqual,pstatus,pstatus_def,emp_status_def,edu_y,ethnic,reli,wt,ht,bmi,reg
70001/01,5,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,42,24.89565,101,1,4,Divorced,Female,SSS/Secondary,Non poor,1,1,12," Dagarte (Dagaba), Lobi , Wali (Wala)", Catholic,98,153,41.86424025,Western
70001/02,4,Self-employed (agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,59,10.45194,101,7,1,Married,Male,MSLC,Non poor,1,2,10, Fante, Pentecostal/Charismatic,61,166.5,22.00398597,Western
70001/03,5,Self-employed (non-agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,37,98.17914,101,1,1,Married,Male,None,Non poor,1,1,8, Nzema, Protestant,65.5,174.8,21.43672533,Western
70001/04,4,Public Employee,1,Rent-free,Urban,2. Non Pwds,1,1,Employed,27,13.54861,101,3,6,Never married,Male,BECE,Non poor,1,3,12, Fante, Pentecostal/Charismatic,74.4,162,28.34933699,Western
70001/05,4,Private Employee,1,Owning,Urban,2. Non Pwds,1,1,Employed,50,11.31113,101,9,1,Married,Male,None,Non poor,1,4,9, Nzema, Pentecostal/Charismatic,65.9,166,23.91493686,Western
70001/06,4,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,35,13.43888,101,2,3,Separated,Female,None,Non poor,1,1,0, Fante, Pentecostal/Charismatic,53.35,160.1,20.81381835,Western
70001/07,2,Self-employed (non-agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,49,5.510111,101,10,1,Married,Male,None,Non poor,1,1,5, Akyem, Pentecostal/Charismatic,90.2,178,28.4686277,Western
70001/08,4,Self-employed (agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,66,13.41513,101,2,4,Divorced,Male,None,Non poor,1,2,1, Nzema, Pentecostal/Charismatic,65.1,173.5,21.62629039,Western
70001/09,5,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,44,20.22388,101,5,4,Divorced,Female,None,Non poor,1,1,6, Fante, Other Christian,74.5,157.8,29.91866941,Western
70001/10,4,Private Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,24,11.6415,101,2,2,Consensual Union,Male,BECE,Non poor,1,4,11, Kusasi, No religion,61.65,165,22.6446281,Western
70001/11,5,Self-employed (agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,20,17.8341,101,1,6,Never married,Male,BECE,Non poor,1,2,11, Nzema, Pentecostal/Charismatic,58.9,168.5,20.74509769,Western
70001/12,5,Public Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,42,43.95636,101,2,6,Never married,Male,SSS/Secondary,Non poor,1,3,13, Kasena (Paga), Pentecostal/Charismatic,69,173,23.05456246,Western
70001/14,3,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,43,9.787322,101,2,1,Married,Female,BECE,Non poor,1,1,9,, Pentecostal/Charismatic,0,0,0,Western
70001/15,3,Self-employed (non-agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,43,7.906891,101,6,4,Divorced,Female,BECE,Non poor,1,1,9, Nzema, Pentecostal/Charismatic,10.74,166.5,3.874144415,Western
70002/01,5,Other Inactive,1,Owning,Urban,2. Non Pwds,1,3,Not in labor force,29,28.47244,101,1,6,Never married,Male,None,Non poor,1,5,4, Aowin, Catholic,62.85,172,21.24459167,Western
70002/02,5,Self-employed (non-agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,41,23.6919,101,3,2,Consensual Union,Male,BECE,Non poor,1,1,10, Nzema, Pentecostal/Charismatic,82.49,168,29.22689909,Western
70002/03,5,Other Inactive,1,Renting,Urban,2. Non Pwds,1,3,Not in labor force,34,24.19264,101,3,1,Married,Male,None,Non poor,1,5,8, Fante, Islam,75.67,167,27.13256122,Western
70002/04,4,Other Inactive,1,Owning,Urban,2. Non Pwds,1,3,Not in labor force,62,11.38299,101,7,5,Widowed,Female,MSLC,Non poor,1,5,10, Fante, Pentecostal/Charismatic,73.65,164,27.38325402,Western
70002/05,5,Other Inactive,1,Renting,Urban,2. Non Pwds,1,3,Not in labor force,54,18.46965,101,3,5,Widowed,Female,MSLC,Non poor,1,5,10," Awutu, Efutu, Senya, Breku", Pentecostal/Charismatic,75.65,163,28.47303248,Western
70002/06,5,Self-employed (non-agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,52,25.74091,101,2,3,Separated,Male,None,Non poor,1,1,4, Akuapem, Pentecostal/Charismatic,55.85,165,20.51423324,Western
70002/07,5,Self-employed (non-agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,39,19.51079,101,3,2,Consensual Union,Female,None,Non poor,1,1,4, Fante, Pentecostal/Charismatic,62.59,158,25.07210383,Western
70002/08,4,Self-employed (non-agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,44,13.97577,101,5,1,Married,Male,None,Non poor,1,1,0, Aowin, Islam,60.56,164,22.51635931,Western
70002/09,5,Other Inactive,1,Renting,Urban,2. Non Pwds,1,3,Not in labor force,34,41.3004,101,1,1,Married,Male,SSS/Secondary,Non poor,1,5,12, Aowin, Pentecostal/Charismatic,50.75,162,19.33775339,Western
70002/10,4,Self-employed (agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,45,13.08853,101,6,1,Married,Male,MSLC,Non poor,1,2,10, Aowin, No religion,0,0,0,Western
70002/11,5,Unemployed,1,Owning,Urban,2. Non Pwds,1,2,Unemployed,32,24.55534,101,2,2,Consensual Union,Male,None,Non poor,1,6,5, Aowin, Pentecostal/Charismatic,54,160,21.09375,Western
70002/13,5,Self-employed (agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,55,16.17925,101,5,1,Married,Male,MSLC,Non poor,1,2,10, Aowin, Pentecostal/Charismatic,75,165,27.54820937,Western
70002/14,5,Other Inactive,1,Renting,Urban,2. Non Pwds,1,3,Not in labor force,58,32.32698,101,1,2,Consensual Union,Male,MSLC,Non poor,1,5,10, Fante, Protestant,63.6,176,20.53202479,Western
70002/15,5,Self-employed (agric),1,Renting,Urban,2. Non Pwds,1,1,Employed,46,25.52802,101,1,5,Widowed,Female,None,Non poor,1,2,9, Agona, Pentecostal/Charismatic,41.5,154,17.49873503,Western
70003/01,2,Self-employed (agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,60,5.910008,102,5,5,Widowed,Female,None,Non poor,1,2,0, Nzema, Other Christian,0,0,0,Western
70003/03,2,Private Employee,1,Rent-free,Urban,2. Non Pwds,1,1,Employed,37,5.083102,102,4,1,Married,Male,BECE,Non poor,1,4,9, Nzema, Pentecostal/Charismatic,0,0,0,Western
70003/04,3,Private Employee,1,Rent-free,Urban,2. Non Pwds,1,1,Employed,32,9.532819,102,1,4,Divorced,Male,Voc/Tech/Teacher,Non poor,1,4,15, Nzema, Protestant,59.4,169.4,20.69948941,Western
70003/05,4,Unemployed,1,Rent-free,Urban,2. Non Pwds,1,2,Unemployed,39,15.22559,102,4,4,Divorced,Female,None,Non poor,1,6,0, Nzema, Other Christian,0,0,0,Western
70003/06,4,Self-employed (non-agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,33,15.27892,102,2,4,Divorced,Female,None,Non poor,1,1,4, Nzema, Catholic,70.5,152.7,30.23507449,Western
70003/07,3,Private Employee,1,Renting,Urban,2. Non Pwds,1,1,Employed,35,8.243151,102,3,1,Married,Male,BECE,Non poor,1,4,0, Nzema, Catholic,68.4,167.5,24.37959456,Western
70003/09,4,Self-employed (non-agric),1,Rent-free,Urban,2. Non Pwds,1,1,Employed,53,10.69845,102,3,4,Divorced,Female,MSLC,Non poor,1,1,10, Nzema, Catholic,63.9,153.3,27.1904596,Western
70003/10,4,Private Employee,1,Owning,Urban,2. Non Pwds,1,1,Employed,30,14.20222,102,5,1,Married,Male,None,Non poor,1,4,7, Nzema, No religion,72.2,168,25.58106576,Western
70003/11,3,Self-employed (agric),1,Owning,Urban,2. Non Pwds,1,1,Employed,44,8.568294,102,1,4,Divorced,Female,None,Non poor,1,2,2, Nzema, No religion,77.8,164,28.92623438,Western
70003/12,5,Self-employed (non-agric),1,Rent-free,Urban,2. Non Pwds,1,1,Employed,25,60.50855,102,2,2,Consensual Union,Female,SSS/Secondary,Non poor,1,1,15, Nzema, Catholic,63.4,164.8,23.34397681,Western
